reference,category,type,subject,date,notifying_country,classification,risk_decision
"2021.3704","poultry meat and poultry meat products","food","Detection of Salmonella in 25g in frozen chicken sausages","13-07-2021 10:03:38","Belgium","alert notification","serious"
"2021.3701","fruits and vegetables","food","Ethylene oxide in Ginger extract","13-07-2021 09:23:50","Denmark","alert notification","serious"
"2021.3700","food contact materials","food contact material","suspicion of unauthorised use of bamboo in lunch boxes offered online for sale","12-07-2021 18:13:51","Luxembourg","information notification for attention","not serious"
"2021.3699","crustaceans and products thereof","food","too high content of sulphite (405 mg/kg - ppm) in frozen prawn tails from Ecuador","12-07-2021 17:49:32","Italy","information notification for attention","not serious"
"2021.3698","fruits and vegetables","food","Recubrimiento con aditivos no autorizados-yuca- Costa Rica/Coating with unauthorized additives-Yucca-Costa Rica","12-07-2021 17:35:34","Spain","border rejection notification","undecided"
"2021.3697","food contact materials","food contact material","unauthorised use of bamboo in \tmelamine coffee to-go-cups dispatched from the United Kingdom, via the Netherlands","12-07-2021 17:30:42","Luxembourg","information notification for follow-up","not serious"
"2021.3696","fruits and vegetables","food","Aflatoxinas- almendras-EEUU/Aflatoxins- almonds-USA","12-07-2021 17:26:51","Spain","border rejection notification","serious"
"2021.3695","fish and products thereof ","food","parasitic infestation with Anisakis of chilled silver scabbardfish (Lepidopus caudatus) from Morocco","12-07-2021 17:25:53","Spain","border rejection notification","not serious"
"2021.3694","food contact materials","food contact material","unauthorised additive (bamboo) in plastic cup to go ","12-07-2021 17:02:16","Luxembourg","information notification for attention","not serious"
"2021.3693","pet food","feed","Salmonella Infantis and Enterobacteriaceae in dog chews from Germany","12-07-2021 16:55:08","Austria","information notification for attention","serious"
"2021.3692","crustaceans and products thereof","food","Too high content of sulphites in chilled shrimps (Penaeus vannamei) from Spain","12-07-2021 16:49:45","Portugal","information notification for attention","not serious"
"2021.3691","poultry meat and poultry meat products","food","SALMONELLA IN FROZEN RAW MARINATED CHICKEN PIECES","12-07-2021 16:49:22","France","alert notification","serious"
"2021.3690","compound feeds","feed","Salmonella agona in feed for poultry from Belgium","12-07-2021 16:39:22","Belgium","information notification for follow-up","not serious"
"2021.3688","milk and milk products","food","Gluten undeclared on butter from Italy","12-07-2021 16:07:45","Italy","alert notification","serious"
"2021.3685","milk and milk products","food","ethylene oxide in farina di carruba usato come stabilizzante in crema di formaggio prodotto in FRANCIA/ ethylene oxide in carob flour used as stabilizer in cream cheese produced in FRANCE ","12-07-2021 12:28:36","Italy","alert notification","undecided"
"2021.3684","food contact materials","food contact material","unauthorised additive (bamboo) in plastic food contact materials","12-07-2021 12:20:15","Luxembourg","information notification for attention","not serious"
"2021.3683","dietetic foods, food supplements and fortified foods","food","Unauthorised novel food cannabidiol (CBD) products sold by Czech FBO","12-07-2021 12:10:38","Belgium","information notification for follow-up","undecided"
"2021.3378","feed additives","feed","Antibiotic resistance genes in feed additive","12-07-2021 11:57:39","Belgium","information notification for follow-up","undecided"
"2021.3681","food additives and flavourings","food","Unauthorized substance ethylene oxide in locust bean gum (E 410) from Turkey via Germany","12-07-2021 10:52:43","Germany","alert notification","undecided"
"2021.3680","food contact materials","food contact material","unauthorised use of bamboo in tableware set for children","12-07-2021 10:36:55","Luxembourg","information notification for attention","not serious"
"2021.3679","food contact materials","food contact material","unauthorised additive (wheat staw and maize starch) in plastic FCM","12-07-2021 09:39:13","Luxembourg","information notification for attention","not serious"
"2021.3678","nuts, nut products and seeds","food","aflatoxins pistachos from Iran","10-07-2021 10:24:43","Spain","border rejection notification","serious"
"2021.3677","fruits and vegetables","food","PIÑAS.USO ADITIVOS DE RECUBRIMIENTO NO AUTORIZADOS.COSTA RICA // PINEAPPLE USE UNAUTHORIZED COATING ADDITIVES COSTA RICA","10-07-2021 10:20:51","Spain","border rejection notification","undecided"
"2021.3676","other food product / mixed","food","foreign body (metal fragment) in potato product from Belgium","09-07-2021 19:53:19","Germany","alert notification","serious"
"2021.3675","food contact materials","food contact material","suspicion of unauthorized use of bamboo in plastic cup to go","09-07-2021 17:32:21","Luxembourg","information notification for attention","not serious"
"2021.3674","food contact materials","food contact material","misleading of the consumer -unauthorized additive in plastic tableware","09-07-2021 17:11:11","Luxembourg","information notification for attention","not serious"
"2021.3673","prepared dishes and snacks","food","Listeria monocytogenes in prepared dish from Slovakia","09-07-2021 16:36:42","Austria","information notification for attention","serious"
"2021.3671","bivalve molluscs and products thereof","food","Escherichia coli in smooth clam (Callista chione) from Italy","09-07-2021 16:19:57","Italy","information notification for attention","serious"
"2021.3670","poultry meat and poultry meat products","food","Salmonella Enteritidis in environmental swabs","09-07-2021 16:08:25","Poland","alert notification","undecided"
"2021.3669","food contact materials","food contact material","unauthorised additive (bamboo) in plastic cup to go","09-07-2021 16:03:09","Luxembourg","information notification for attention","not serious"
"2021.3668","fruits and vegetables","food","Chlorpyrifos in raisins from Iran, dispatched from Turkey","09-07-2021 15:26:09","Croatia","border rejection notification","undecided"
"2021.3666","fats and oils","food","too high level of 3-MCPD in degummed corn oil from Brazil / Presencia elevada de 3-MCPD en aceite de maíz desgomado de Brasil","09-07-2021 15:08:31","Spain","information notification for attention","serious"
"2021.3665","dietetic foods, food supplements and fortified foods","food","2-Chloroethanol in food supplement from Germany","09-07-2021 15:06:41","Germany","information notification for follow-up","undecided"
"2021.3664","fruits and vegetables","food","unauthorised substances omethoate and dimethoate in cucumbers from Belarus","09-07-2021 14:57:19","Poland","border rejection notification","undecided"
"2021.3663","fish and products thereof ","food","presence of mercury in swordfish from Spain","09-07-2021 14:52:53","Italy","alert notification","serious"
"2021.3662","nuts, nut products and seeds","food","Aflatoxins in peanuts from the US","09-07-2021 14:47:26","Denmark","border rejection notification","serious"
"2021.3660","herbs and spices","food","Salmonella in Garam Masala spice mix from UK","09-07-2021 14:27:24","Finland","border rejection notification","serious"
"2021.3659","other food product / mixed","food","Too high content of sulphite (103; 79 mg/kg - ppm) in olive oil with anchovies from Morocco","09-07-2021 14:22:27","Spain","border rejection notification","not serious"
"2021.3657","other food product / mixed","food","Additive E 124 / bubble gum/ Brazil","09-07-2021 14:20:52","Spain","border rejection notification","not serious"
"2021.3655","food contact materials","food contact material","Sustancias no autorizadas en vajillas de plástico de China // Unauthorized substances in Plastic Tableware from China","09-07-2021 14:05:35","Spain","border rejection notification","not serious"
"2021.3654","fish and products thereof ","food","Cold chain break in tuna loins from Solomon Islands","09-07-2021 14:04:05","Spain","border rejection notification","not serious"
"2021.3649","prepared dishes and snacks","food","Listeria monocytogenes in Chorizo with cream cheese","09-07-2021 12:39:28","Denmark","alert notification","serious"
"2021.3641","food additives and flavourings","food","Unauthorized substance Ethylene oxide in locust bean gum","09-07-2021 11:24:37","Germany","alert notification","serious"
"2021.3639","poultry meat and poultry meat products","food","Salmonella enterica ser. Infantis (in 5 out of 5 samples /25g) in chilled chicken meat from Poland","09-07-2021 10:05:41","Poland","information notification for follow-up","not serious"
"2021.3638","feed materials","feed","Salmonella in poultry meal from the UK","09-07-2021 09:54:00","Belgium","information notification for attention","not serious"
"2021.3633","cereals and bakery products","food","Chlorpyrifos-methyl in wheat products (gluten and bran)","08-07-2021 20:03:16","Belgium","alert notification","undecided"
"2021.3631","poultry meat and poultry meat products","food","Salmonella in frozen chicken fillet","08-07-2021 17:52:39","Netherlands","alert notification","serious"
"2021.3630","fish and products thereof ","food","mercury in frozen swordfish (Xiphias gladius) from Spain","08-07-2021 17:50:43","Spain","alert notification","serious"
"2021.3629","other food product / mixed","food","metal fragment in vegetarian schnitzels from the Netherlands","08-07-2021 17:36:58","Germany","information notification for attention","undecided"
"2021.3628","milk and milk products","food","Listeria monocytogenes in raw milk cheese (Coulommiers) from France","08-07-2021 17:31:39","France","information notification for attention","serious"
"2021.3627","meat and meat products (other than poultry)","food","Salmonella (present /25g) in sliced smoked raw ham from Germany","08-07-2021 17:22:42","France","alert notification","serious"
"2021.3626","poultry meat and poultry meat products","food","Salmonella (group O:8 in 1 out of 5 samples /25g) and Salmonella enterica ser. Infantis (in 4 out of 5 samples /25g) in chilled chicken meat from Poland","08-07-2021 17:09:49","Poland","information notification for follow-up","not serious"
"2021.3624","dietetic foods, food supplements and fortified foods","food","ethylene oxide in bacopa extract used as an ingredient in food supplements from Spain","08-07-2021 16:55:38","Spain","alert notification","serious"
"2021.3623","fruits and vegetables","food","carbendazim in CHINESE LEEK LEAVES ","08-07-2021 16:54:54","Denmark","information notification for follow-up","undecided"
"2021.3621","cocoa and cocoa preparations, coffee and tea","food","Increased THC content in organic hemp tea from Austria","08-07-2021 16:29:03","Germany","alert notification","serious"
"2021.3620","fats and oils","food"," 3-MCPD in soy beans from China","08-07-2021 16:20:36","Portugal","border rejection notification","not serious"
"2021.3618","fruits and vegetables","food","Excessive levels of chlorpyrifos-methyl in red pointed peppers from Turkey","08-07-2021 16:02:14","Germany","information notification for attention","undecided"
"2021.3617","poultry meat and poultry meat products","food","Salmonella in kipfilet","08-07-2021 15:59:43","Netherlands","alert notification","serious"
"2021.3616","fruits and vegetables","food","Aditivos no autorizados en parafina de recubrimiento- Yuca (Manihot esculenta) - Costa Rica // Unauthorized additives in coating paraffin- Cassava (Manihot esculenta)- Costa Rica","08-07-2021 15:53:13","Spain","border rejection notification","not serious"
"2021.3614","fruits and vegetables","food","aflatoxin and ochratoxin A in dates from Tunisia","08-07-2021 15:44:00","Belgium","information notification for attention","serious"
"2021.3613","cereals and bakery products","food","Tricyclazol and chlorpyrifos in rice from Bangladesh","08-07-2021 15:16:24","Denmark","information notification for attention","undecided"
"2021.3612","dietetic foods, food supplements and fortified foods","food","2-Chloroethanol in food supplements from Germany","08-07-2021 14:53:33","Germany","alert notification","serious"
"2021.3610","nuts, nut products and seeds","food","Ethylene oxide in roasted and salted sunflower seeds","08-07-2021 14:32:17","France","alert notification","serious"
"2021.3609","nuts, nut products and seeds","food","aflatoxins in organic groundnut kernels from Egypt","08-07-2021 14:21:42","Netherlands","border rejection notification","serious"
"2021.3606","fruits and vegetables","food","Dimethoate and Omethoate in cherries from Turkey","08-07-2021 11:24:27","Norway","information notification for attention","undecided"
"2021.3605","meat and meat products (other than poultry)","food","Salmonella Mbandaka in beef from Poland","08-07-2021 11:00:12","Germany","information notification for follow-up","not serious"
"2021.3603","confectionery","food","Food additive E123 in candies from China","08-07-2021 10:46:23","Latvia","border rejection notification","undecided"
"2021.3600","fruits and vegetables","food","E 445 glycerol esters of wood rosins non authorised in coating of fresh mangoes from Brazil / Aditivos no autorizados en mangos frescos de Brasil","08-07-2021 09:58:07","Spain","border rejection notification","not serious"
"2021.3599","other food product / mixed","food","Especie vegetal Parkia biglobosa no autorizada de Senegal // Unauthorized plant species Parkia biglobosa from Senegal","08-07-2021 09:56:52","Spain","border rejection notification","undecided"
"2021.3598","fish and products thereof ","food","parasitic infestation with Anisakis of chilled silver scabbardfish (Lepidopus caudatus) from Morocco ","08-07-2021 09:56:02","Spain","border rejection notification","not serious"
"2021.3597","herbs and spices","food","PRESENCIA DE SALMONELLA SPP. EN PIMIENTA DE BRASIL // PRESENCE OF SALMONELLA SPP. IN BRAZILIAN PEPPER","08-07-2021 09:54:38","Spain","border rejection notification","serious"
"2021.3596","fruits and vegetables","food","unauthorised food additive ethoxylated alcohol in mangoes from Brazil","08-07-2021 09:52:55","Spain","border rejection notification","not serious"
"2021.3595","fruits and vegetables","food","Hygienic-sanitary deficiencies – oranges - from Morocco","08-07-2021 09:52:25","Spain","border rejection notification","not serious"
"2021.3594","crustaceans and products thereof","food","Poor Temperature control - rupture of the cold chain - of chilled crustaceans from Morocco","08-07-2021 09:51:55","Spain","border rejection notification","not serious"
"2021.3593","herbs and spices","food","Salmonella (in 3 out of 5 samples /25g) in black pepper from Brazil","08-07-2021 09:51:22","Spain","border rejection notification","serious"
"2021.3591","fruits and vegetables","food","penconazole, propiconazole, thiophanate-methyl, cyproconazole and myclobutanil and unauthorised substances carbendazim, flusilazole and iprodione in pickled vine leaves from Egypt, via the Netherlands","08-07-2021 08:42:31","Germany","alert notification","undecided"
"2021.3589","food contact materials","food contact material","migration of volatile organic constituents (1.6 %) from silocon cups for toddlers from China, via Denmark","07-07-2021 17:50:05","Finland","alert notification","undecided"
"2021.3588","crustaceans and products thereof","food","chloramphenicol in frozen blanched shrimps from India","07-07-2021 16:49:52","Poland","information notification for attention","undecided"
"2021.3587","milk and milk products","food","Listeria monocytogenes in PDO gorgonzola cheese from Italy","07-07-2021 16:37:29","Italy","information notification for attention","serious"
"2021.3586","dietetic foods, food supplements and fortified foods","food","Ethylene oxide in organic moringa powder from India","07-07-2021 16:17:52","Germany","alert notification","serious"
"2021.3584","fruits and vegetables","food","Mould infestation of olives from Turkey","07-07-2021 15:38:35","Germany","information notification for follow-up","not serious"
"2021.3583","meat and meat products (other than poultry)","food","Salmonella Derby in minced meat preparation","07-07-2021 15:30:13","Slovakia","information notification for attention","undecided"
"2021.3581","ices and desserts","food","Ethylene oxide in thickner (locust bean gum) used in ice cream","07-07-2021 14:19:46","Sweden","alert notification","undecided"
"2021.3576","poultry meat and poultry meat products","food","Salmonella Enteritidis in chicken","07-07-2021 13:00:20","Poland","information notification for attention","serious"
"2021.3575","meat and meat products (other than poultry)","food","Mold growth on sausages from Spain","07-07-2021 12:59:34","Denmark","information notification for follow-up","not serious"
"2021.3574","nuts, nut products and seeds","food","Aflatoxins in Argentine peanuts","07-07-2021 12:38:17","Netherlands","border rejection notification","serious"
"2021.3573","nuts, nut products and seeds","food","Aflatoxin B1 in organic groundnut kernels from Bolivia","07-07-2021 12:35:46","Netherlands","border rejection notification","serious"
"2021.3572","fish and products thereof ","food","foodborne outbreak suspected (histamine poisoning) to be caused by frozen yellowfin tuna loins from Spain","07-07-2021 12:29:43","Italy","alert notification","serious"
"2021.3569","nuts, nut products and seeds","food","Ethylene oxide in caramelised nuts with sesame seeds (almond, hazelnut and peanut) from Greece","07-07-2021 11:49:27","Finland","alert notification","serious"
"2021.3567","prepared dishes and snacks","food","Mould infestation of dumplings with cheese filling from Turkey","07-07-2021 11:33:57","Germany","information notification for follow-up","not serious"
"2021.3566","pet food","feed","Salmonella typhimurium in dog chews (pig ears) from Poland via Germany","07-07-2021 11:29:41","Iceland","alert notification","serious"
"2021.3564","feed materials","feed","Salmonella in frozen mechanically separated (MSM) chicken meat cat 3 from the Netherlands","07-07-2021 11:07:13","Belgium","information notification for follow-up","not serious"
"2021.3563","feed materials","feed","Salmonella in rabbit mechanically deboned meat (MDM) cat 3 from Hungary, via Denmark","07-07-2021 11:02:21","Belgium","information notification for follow-up","not serious"
"2021.3560","cereals and bakery products","food","Mould infestation of dough sheets from Turkey ","07-07-2021 10:07:20","Germany","information notification for follow-up","not serious"
"2021.3559","poultry meat and poultry meat products","food","Salmonella spp. in chilled chicken elements from Poland","07-07-2021 09:52:37","Poland","information notification for attention","not serious"
"2021.3558","cereals and bakery products","food","Mold infestation of dough sheets from Turkey","07-07-2021 09:37:51","Germany","information notification for follow-up","not serious"
"2021.3555","other food product / mixed","food","Exceedance of maximum residue limits for chlorpyrifos in cumin from India","06-07-2021 17:17:09","Germany","alert notification","serious"
"2021.3554","feed materials","feed","salmonella in fish meal from Morocco","06-07-2021 17:07:55","Spain","information notification for attention","not serious"
"2021.3553","other food product / mixed","food","Wrong content packaging, contains student oats instead of cashew nuts from the Netherlands","06-07-2021 17:01:09","Netherlands","alert notification","serious"
"2021.3552","food contact materials","food contact material","deterioration of organoleptic characteristics of plastic cup from China","06-07-2021 16:47:00","Estonia","information notification for follow-up","not serious"
"2021.3551","fruits and vegetables","food","Exceeding LMA pesticid omethoate in apricots Turkey","06-07-2021 16:17:36","Romania","information notification for attention","serious"
"2021.3547","dietetic foods, food supplements and fortified foods","food","Lead in food supplement from India","06-07-2021 14:05:59","Finland","border rejection notification","serious"
"2021.3546","pet food","feed","presence of unauthorized color additives in feed for ornamental birds","06-07-2021 14:03:16","Spain","border rejection notification","undecided"
"2021.3544","food additives and flavourings","food","ethylene oxide in locust bean gum (E 410)","06-07-2021 12:22:00","Belgium","information notification for follow-up","undecided"
"2021.3543","nuts, nut products and seeds","food","Presence of Salmonella in sesame seeds from India","06-07-2021 11:40:56","Poland","border rejection notification","serious"
"2021.3542","nuts, nut products and seeds","food","Salmonella Agona in sunflower seed halva from Lithuania, via Germany","06-07-2021 11:29:41","Finland","alert notification","serious"
"2021.3541","food additives and flavourings","food","Ethylene oxide in spice paste from Singapore","06-07-2021 11:26:22","Netherlands","alert notification","serious"
"2021.3540","meat and meat products (other than poultry)","food","shigatoxin-producing Escherichia coli (in 2 out of 5 samples /25g) in frozen lamb plucks from New Zealand","06-07-2021 09:54:39","Bulgaria","border rejection notification","serious"
"2021.3538","fruits and vegetables","food","Exceeding cadmium in avocado","06-07-2021 09:22:11","Netherlands","alert notification","serious"
"2021.3537","nuts, nut products and seeds","food","aflatoxin in USA  groundnuts","06-07-2021 08:52:36","Netherlands","border rejection notification","serious"
"2021.3535","herbs and spices","food","benzo(a)pyreen and PAH in bay leaf organic from Turkey","05-07-2021 17:46:08","Netherlands","alert notification","serious"
